university_id,university_name,university_global_rank,course_program_label,parent_course_name
2750,"New York Institute of Technology, Old Westbury",,MS in Computer Science,Computer Science
3167,University of North America,,MS in Computer Science,Computer Science
2792,State University of New York at New Paltz,,MS in Computer Science,Computer Science
2585,New Mexico Institute of Mining and Technology,,MS in Computer Science,Computer Science
2766,Rivier University,,MS in Computer Science,Computer Science
2688,Chicago State University ,,MS in Computer Science,Computer Science
2705,Eastern Washington University,,MS in Computer Science,Computer Science
3802,Fitchburg State University,,MS in Computer Science,Computer Science
2702,East Stroudsburg University,,MS in Computer Science (Non-Thesis),Computer Science
3152,"Fontbonne University, St Louis",,MS in Computer Science,Computer Science
3549,Iona College,,MS in Computer Science,Computer Science
2754,Northeastern Illinois University,,MS in Computer Science,Computer Science
2821,University of Minnesota Duluth,,MS in Computer Science,Computer Science
3285,The College of Saint Rose,,MS in Computer Science,Computer Science
2779,Shippensburg University of Pennsylvania,,MS in Computer Science,Computer Science
5042,Oral Roberts University,,MS in Computer Science (Computer Science),Computer Science
5042,Oral Roberts University,,MS in Computer Science (Data Science),Computer Science
3889,West Virginia State University,,MS in Computer Science,Computer Science
5077,Charleston Southern University,,MS in Computer Science,Computer Science
5077,Charleston Southern University,,MS in Computer Science,Computer Science
5077,Charleston Southern University,,MS in Computer Science,Computer Science
5077,Charleston Southern University,,MS in Computer Science,Computer Science
5077,Charleston Southern University,,MS in Computer Science,Computer Science
5077,Charleston Southern University,,MS in Computer Science,Computer Science
3254,"California State University, Bakersfield",,MS in Computer Science,Computer Science
4075,NYU Tandon School of Engineering,,MS in Computer Science,Computer Science
3242,University of Central Oklahoma,,MS in Computer Science ,Computer Science
5208,Avila University,,MS in Computer Science Management,Computer Science
3897,Virginia State University,,MS in Computer Science - Non-Thesis,Computer Science
2778,Seattle University,,Masters in Computer Science,Computer Science
2747,National University,,MS in Computer Science,Computer Science
2727,James Madison University,,MS in Computer Science,Computer Science
3339,Trinity University,,MSc in Computer Science - Intelligent Systems,Computer Science
2704,Eastern Michigan University,,MS in Computer Science,Computer Science
2742,Midwestern State University,,MS in Computer Science,Computer Science
2714,Frostburg State University,,MS in Applied Computer Science,Computer Science
2689,Christopher Newport University,,Masters in Applied Physics and Computer Science,Computer Science
2691,"City University Of New York, Lehman College",,MS in Computer Science,Computer Science
4224,Angelo State University,,MS in Computer Science,Computer Science
2787,Southern Oregon University,,Masters in Applied Computer Science,Computer Science
2756,Northern Kentucky University,,MS in Computer Science,Computer Science
5042,Oral Roberts University,,MSc in Computer Science (Data Science),Computer Science
5042,Oral Roberts University,,MSc in Computer Science (Data Science),Computer Science
5042,Oral Roberts University,,MSc in Computer Science (Data Science),Computer Science
2737,Maharishi University of Management,,MS in Computer Science,Computer Science
3807,"New York Institute of Technology, Vancouver",,MS in Computer Science,Computer Science
3306,Penn State Great Valley,,MEng in Computer Science and Engineering,Computer Science
3306,Penn State Great Valley,,MS in Computer Science and Engineering,Computer Science
3529,North Carolina Central University,,Masters in Computer Science,Computer Science
2733,Lawrence Technological University,,Masters in Computer Science,Computer Science
3900,"University of the Pacific, San Francisco",,MS in Computer Science,Computer Science
2838,University of Texas - Pan American,,MS in Computer Science,Computer Science
2734,"Long Island University, Brooklyn",,MS in Computer Science (Blended) ,Computer Science
2734,"Long Island University, Brooklyn",,MS in Computer Science (Blended) ,Computer Science
2734,"Long Island University, Brooklyn",,MS in Computer Science,Computer Science
2734,"Long Island University, Brooklyn",,MS in Computer Science (Blended) ,Computer Science
2676,"California State University, Dominguez Hills",,MS in Computer Science,Computer Science
4948,"Concordia University, Wisconsin",,MS in Computer Science,Computer Science
4948,"Concordia University, Wisconsin",,MS in Computer Science,Computer Science
3721,Northeastern University-Seattle,,MS in Computer Science,Computer Science
3721,Northeastern University-Seattle,,MS in Computer Science,Computer Science
2751,Norfolk State University,,MS in Computer Science,Computer Science
3039,Western New England University,,MS in Computer Science,Computer Science
4643,Eastern Kentucky University,,MS in Computer Science,Computer Science
3242,University of Central Oklahoma,,Masters in Computational Science - Computer Science,Computer Science
4075,NYU Tandon School of Engineering,,Diploma in Computer Science,Computer Science
2845,"University of Washington, Tacoma",,MS in Computer Science and Systems,Computer Science
4315,University of St. Thomas,,B.S in Computer Science,Computer Science
2720,Grand Valley State University,,MS in Applied Computer Science,Computer Science
3150,Concordia University - Ann Arbor,,MS in Computer Science,Computer Science
2697,Colorado Technical University,,MS in Computer Science,Computer Science
2748,New Mexico Highlands University,,MS in Media Arts and Computer Science- Computer Science,Computer Science
3158,Purdue University Northwest,,MS in Computer Science,Computer Science
